starNumber,B,V,V_corrected,B-V,B-V_corrected
413,15.857,15.3,14.34,0.557,0.257
414,16.974,16.27,15.31,0.704,0.404
415,19.527,17.661,16.701,1.866,1.566
416,17.994,17.122,16.162,0.872,0.572
417,16.961,16.274,15.314,0.687,0.387
418,19.282,17.762,16.802,1.52,1.22
419,15.276,14.72,13.76,0.556,0.256
420,17.071,15.929,14.969,1.142,0.842
421,15.027,14.329,13.369,0.698,0.398
422,15.006,14.518,13.558,0.488,0.188
423,16.913,16.137,15.177,0.776,0.476
424,16.331,15.638,14.678,0.693,0.393
425,19.061,18.739,17.779,0.322,0.022
426,17.643,17.236,16.276,0.407,0.107
427,17.222,16.631,15.671,0.591,0.291
428,17.556,17.144,16.184,0.412,0.112
429,18.017,17.729,16.769,0.288,-0.012
430,16.571,15.963,15.003,0.608,0.308
431,17.233,16.831,15.871,0.402,0.102
432,15.978,15.336,14.376,0.642,0.342
433,17.572,17.083,16.123,0.489,0.189
434,16.887,16.224,15.264,0.663,0.363
435,19.533,18.894,17.934,0.639,0.339
436,20.734,20.158,19.198,0.576,0.276
437,17.344,16.839,15.879,0.505,0.205
438,18.243,17.491,16.531,0.752,0.452
439,17.014,16.72,15.76,0.294,-0.006
440,16.576,15.884,14.924,0.692,0.392
441,18.017,17.763,16.803,0.254,-0.046
442,20.062,19.572,18.612,0.49,0.19
443,17.214,16.349,15.389,0.865,0.565
444,17.418,17.102,16.142,0.316,0.016
445,16.599,15.892,14.932,0.707,0.407
446,15.968,15.219,14.259,0.749,0.449
447,20.591,19.958,18.998,0.633,0.333
448,17.318,16.829,15.869,0.489,0.189
449,16.031,15.711,14.751,0.32,0.02
450,19.737,19.261,18.301,0.476,0.176
451,16.513,16.038,15.078,0.475,0.175
452,15.689,15.372,14.412,0.317,0.017
453,16.865,16.319,15.359,0.546,0.246
454,16.773,16.473,15.513,0.3,0
455,15.842,15.217,14.257,0.625,0.325
456,16.907,16.562,15.602,0.345,0.045
457,17.303,16.904,15.944,0.399,0.099
458,18.079,17.738,16.778,0.341,0.041
459,16.609,16.142,15.182,0.467,0.167
460,16.541,16.082,15.122,0.459,0.159
461,16.312,15.392,14.432,0.92,0.62
462,17.723,16.603,15.643,1.12,0.82
463,15.814,15.302,14.342,0.512,0.212
464,17.371,16.823,15.863,0.548,0.248
465,16.285,15.928,14.968,0.357,0.057
466,17.664,17.266,16.306,0.398,0.098
467,18.695,18.104,17.144,0.591,0.291
468,18.913,18.379,17.419,0.534,0.234
469,17.371,16.432,15.472,0.939,0.639
470,18.869,18.095,17.135,0.774,0.474
471,18.832,18.283,17.323,0.549,0.249
472,18.079,17.492,16.532,0.587,0.287
473,16.641,15.937,14.977,0.704,0.404
474,18.079,17.374,16.414,0.705,0.405
475,17.371,16.881,15.921,0.49,0.19
476,16.858,16.194,15.234,0.664,0.364
477,19.519,19.028,18.068,0.491,0.191
478,19.718,18.877,17.917,0.841,0.541
479,18.497,17.828,16.868,0.669,0.369
480,16.281,15.936,14.976,0.345,0.045
481,17.834,17.492,16.532,0.342,0.042
482,17.723,16.948,15.988,0.775,0.475
483,17.105,16.803,15.843,0.302,0.002
484,17.942,17.291,16.331,0.651,0.351
485,16.764,15.849,14.889,0.915,0.615
486,17.105,16.302,15.342,0.803,0.503
487,18.421,17.391,16.431,1.03,0.73
488,20.102,19.838,18.878,0.264,-0.036
489,19.649,19.411,18.451,0.238,-0.062
490,18.746,18.029,17.069,0.717,0.417
491,17.621,16.845,15.885,0.776,0.476
492,,,,,
493,18.046,17.492,16.532,0.554,0.254
494,16.546,16.074,15.114,0.472,0.172
495,16.435,15.829,14.869,0.606,0.306
496,16.183,15.683,14.723,0.5,0.2
497,16.821,16.339,15.379,0.482,0.182
498,14.469,13.762,12.802,0.707,0.407
499,16.546,16.042,15.082,0.504,0.204
500,15.528,14.804,13.844,0.724,0.424
501,16.572,15.968,15.008,0.604,0.304
502,14.896,14.211,13.251,0.685,0.385
503,18.374,17.964,17.004,0.41,0.11
504,19.342,18.774,17.814,0.568,0.268
505,15.631,15.049,14.089,0.582,0.282
506,15.528,14.893,13.933,0.635,0.335
